Page,Date of Post,Post Copy,Link,Post Type,Hour of Post,Time of Day,Shares,Reactions,Likes,Comments
Spartan Race,9/10/2016,The Elite Women storm the course at the 2016 Ft Bragg #SpartanRace Military Sprint. Who will take th…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153716556461861/?type=3,photo,13,Afternoon,19,617,600,5
Spartan Race,9/10/2016,The first open heat at the Ft Bragg #SpartanRace Sprint is about to begin. Safe to say they're excit…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153716574406861/?type=3,photo,13,Afternoon,24,366,353,2
Spartan Race,9/10/2016,The hills are alive with the sound of #AROO #AROO #AROO! Click here- http://bit.ly/2cvVNiX to see al…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153716656546861/?type=3,photo,13,Afternoon,6,309,298,5
Spartan Race,9/10/2016,#AROO to the largest team at the 2016 Ft Bragg #SpartanRace Sprint: Team OEW at 293 strong!,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153716796206861/?type=3,photo,14,Afternoon,71,893,797,14
Spartan Race,9/10/2016,"Spartan Workout Tour
Tawba Fest
Rock Hill, SC",https://www.facebook.com/spartanrace/videos/10153717262061861/,video,19,Evening,45,569,513,28
Spartan Race,9/10/2016,World Champion Robert Killian (@robert_killian ) leading the #SpartanRace Beast in Austria.,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153717334551861/?type=3,photo,20,Evening,28,1122,1037,26
Spartan Race,9/11/2016,Get in gear for your next challenge! SAVE 25% off the Peak Mountain Bike Gnarly Adventure or 6 Hour …,http://bit.ly/2c3njpT,link,0,Late Night,9,50,48,10
Spartan Race,9/11/2016,We remember.,https://www.facebook.com/spartanrace/photos/a.439374891860.239350.251061411860/10153012277556861/?type=3,photo,12,Afternoon,762,12412,12166,50
Spartan Race,9/11/2016,0,https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153719020126861/?type=3,photo,12,Afternoon,63,1530,1422,3
Spartan Race,9/11/2016,"Congratulations to the top Elites of the 2016 #SpartanRace Ft Bragg Sprint.
Your top three Elite wom…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153719557881861/?type=3,photo,17,Evening,11,458,442,10
Spartan Race,9/11/2016,"Mountains, mud and... more mud. #AROO to the Spartans who braved the #Trifecta weekend in Tirol, Aus…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153719976321861/?type=3,photo,20,Evening,46,1264,1195,22
Spartan Race,9/12/2016,"How one young adult's struggle with extremes led him to seek a happy, life-changing outlet, Spartan …",http://sprtn.im/2bzEMTI,link,14,Afternoon,3,70,68,0
Spartan Race,9/12/2016,"Coach Q WOD ""Basic Training 2.0"" Endurance Week http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153721781931861/,video,15,Evening,50,341,308,38
Spartan Race,9/12/2016,Get back to work and take 30% off your next race. Use Code: SUMMER30 http://bit.ly/EndOfSummer2016,https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153707583066861/?type=3,photo,15,Evening,47,108,104,27
Spartan Race,9/12/2016,"Check out Joe Di's tips on the best way to pack for the Killington Beast. #RoadToTahoe #SpartanRace
…",https://www.facebook.com/spartanrace/videos/10153721838121861/,video,15,Evening,32,125,121,14
Spartan Race,9/12/2016,"Thank you to all the Spartans that raced, cheered and volunteered at the Fort Bragg Spartan Race Spr…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153722479091861/?type=3,photo,21,Evening,18,515,481,21
Spartan Race,9/12/2016,Coach Jodie Somers is live from Australia with a workout to help you increase your speed for your ne…,https://www.facebook.com/spartanrace/videos/10153722724201861/,video,23,Late Night,53,598,517,66
Spartan Race,9/13/2016,Should Spartans be stoics?,http://sprtn.im/2cqth2a,link,0,Late Night,21,137,130,7
Spartan Race,9/13/2016,#MedalMonday is only this badass the Monday after a #SpartanRace Military Sprint. #AROO to @chris_sp…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153722844011861/?type=3,photo,0,Late Night,59,1058,998,41
Spartan Race,9/13/2016,"Become a Spartan Obstacle Specialist - Come. Climb. Conquer.

Skip the Burpees: http://sprtn.im/Obst…",https://www.facebook.com/spartanrace/videos/10153724010881861/,video,14,Afternoon,104,639,604,26
Spartan Race,9/13/2016,"The Austrian press caught up with #SpartanRace World Champion, Robert Killian moments after he took …",https://www.facebook.com/spartanrace/videos/10153724348091861/,video,17,Evening,22,285,276,10
Spartan Race,9/13/2016,"Clif Bar athlete, Rose Wetzel, one of the top female OCR athletes will be competing at this year's W…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153724640806861/?type=3,photo,19,Evening,1,223,214,0
Spartan Race,9/13/2016,"Have you completed your #Trifecta? #WHYIRACE #SpartanRace

http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153725062506861/?type=3,photo,23,Late Night,79,599,570,40
Spartan Race,9/13/2016,"The VTster's WOD ðŸ’ª 
Check out Orla Walsh showing you some different ways you can get a workout at…",https://www.facebook.com/spartanrace/videos/10153725061621861/,video,23,Late Night,25,349,319,47
Spartan Race,9/14/2016,"Coach Q WOD ""Funky 10"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153726554776861/,video,15,Evening,30,247,224,25
Spartan Race,9/14/2016,Last day to SAVE. Use code SUMMER30 now to save 30% off in these final dog days of summer. TAG 3 FRI…,http://sprtn.im/2cxcsly,link,16,Evening,17,59,58,11
Spartan Race,9/14/2016,"Coach Q ""Spartan Coaches Clinic"" tips for this weekends race http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153726946546861/,video,19,Evening,74,378,325,93
Spartan Race,9/14/2016,"You may have experienced Fenway Park, just not like this. #SpartanRace

http://sprtn.im/Fenway-Sprin…",https://www.facebook.com/spartanrace/videos/10153727146241861/,video,20,Evening,69,277,261,41
Spartan Race,9/14/2016,@samanthajcurrie isn't messing around. #BeatyAndABeast #SpartanRace,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153727339356861/?type=3,photo,22,Evening,16,1249,1171,27
